gene_name	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	ENSG00000000003.16	1672.89754237956	0.127458894127989	0.407481746527585	0.312796573623601	0.754435218712329	0.910136103570209
DPM1	ENSG00000000419.14	1987.50364714553	-0.296868568234951	0.380380415751208	-0.780451768655516	0.435125006451374	0.732834168422182
SCYL3	ENSG00000000457.14	352.469111386789	-0.0373677355107918	0.408782959513376	-0.09141216540747	0.927165095624919	0.97639074389464
C1orf112	ENSG00000000460.17	660.758089107008	-2.75361967015083	0.394797941203425	-6.9747569142768	3.06400136606872e-12	3.78843277185516e-10
CFH	ENSG00000000971.17	749.655993306786	-0.374597061111651	0.725792378063999	-0.516121514131718	0.605769542682689	0.83594215984619
FUCA2	ENSG00000001036.14	3421.48369544983	-0.582282692613014	0.412529191013193	-1.41149452038266	0.158098850204523	0.465425368542645
GCLC	ENSG00000001084.13	3565.46474228454	-0.518703968615171	0.469015464887916	-1.10594214359036	0.268751562187574	0.595154980152045
NFYA	ENSG00000001167.15	1776.33340133023	-0.0867262442816469	0.422749192718919	-0.205148219737252	0.83745632360424	0.94438841372171
STPG1	ENSG00000001460.18	291.507951757354	-0.194681849571739	0.432380073557164	-0.450256294121288	0.652525649352182	0.861044654015673
NIPAL3	ENSG00000001461.17	1272.34594215809	0.526724978882742	0.444568480156141	1.18480054793301	0.236096315908464	0.562545786105918
LAS1L	ENSG00000001497.18	3396.91121242297	-1.11610189257499	0.370922504786006	-3.00898942009167	0.00262118243573191	0.0352127290259017
ENPP4	ENSG00000001561.7	167.435133521909	1.84843286872887	0.983762928017148	1.87894137508773	0.0602524985151415	0.27049525929138
SEMA3F	ENSG00000001617.12	360.126614197328	0.728709698188987	0.477533818460937	1.52598553237041	0.127013467597809	0.413176324602305
ANKIB1	ENSG00000001629.10	2517.63474109413	0.215868612122035	0.561462079768998	0.384475853134817	0.700625789581339	0.886548975122415
CYP51A1	ENSG00000001630.18	4144.68497353218	0.344876767675142	0.50223788812242	0.686680108831373	0.492284334335826	0.771647923812154
KRIT1	ENSG00000001631.17	1543.75290025773	-0.155929130938771	0.493155300176466	-0.316186667532468	0.751860826817481	0.908950197226277
RAD52	ENSG00000002016.18	573.111749804312	0.295504335262884	0.398681391373211	0.741204233899792	0.458569616665669	0.749371191690909
BAD	ENSG00000002330.14	2141.01258509499	-0.346196772679396	0.478477465379264	-0.723538301652271	0.469349231494389	0.757231323285329
LAP3	ENSG00000002549.13	1874.35168101428	-0.745790332171156	0.370529289977467	-2.01277025148676	0.0441388048773122	0.224357811018168
CD99	ENSG00000002586.20	5016.5161900706	-0.111982574284574	0.452626470681161	-0.247406153944224	0.804593912043064	0.930247988303609
HS3ST1	ENSG00000002587.10	131.481767266371	0.719393095100139	0.883079262827231	0.814641590378828	0.415277496456645	0.719546015217161
AOC1	ENSG00000002726.21	17.4585961961695	-0.838537241253564	1.59476841071539	-0.525805023236827	0.5990236840314	0.83284971740564
HECW1	ENSG00000002746.15	686.441102924848	-0.414659947487488	0.615170765290404	-0.674056653670366	0.500275296058231	0.776717887707063
MAD1L1	ENSG00000002822.16	2126.60278483892	-0.386230497006398	0.379616469768371	-1.0174229196169	0.308952283374087	0.633560894412201
LASP1	ENSG00000002834.19	20787.5470225648	-0.763838140462299	0.392652224305787	-1.94532997186702	0.051735277060652	0.24632945751812
SNX11	ENSG00000002919.15	614.303936711276	-0.715123273096462	0.389174810098342	-1.83753741131332	0.0661305988645377	0.285908059055324
M6PR	ENSG00000003056.8	8183.95743179094	0.357932955778556	0.408717487323006	0.875746614422898	0.381167798038534	0.694241817932447
CYP26B1	ENSG00000003137.9	433.121334301988	0.56044000515949	0.626816364580074	0.894105573543774	0.371265407505063	0.686936312728086
ICA1	ENSG00000003147.19	180.41980775486	1.54621577653013	0.573665819809209	2.69532491415364	0.00703200233707513	0.0702910552869734
DBNDD1	ENSG00000003249.15	1741.58100772066	-1.49596474838757	0.549504193664072	-2.72239004840442	0.00648115964737584	0.0662060762743974
ALS2	ENSG00000003393.16	1661.516368187	-0.134861371260658	0.370162224146223	-0.364330454226426	0.715611261117819	0.893800398971761
CASP10	ENSG00000003400.16	157.866919579347	-1.49193573707766	0.476205183700642	-3.13296828372103	0.00173048140124633	0.0265742864798364
CFLAR	ENSG00000003402.21	2163.56685859961	-0.35659110595103	0.481244570803779	-0.740976891137594	0.458707452018816	0.749531065537816
TFPI	ENSG00000003436.16	2748.23719615266	0.579924014203835	0.625775930017449	0.926727901131742	0.354067827281917	0.67099574758709
NDUFAF7	ENSG00000003509.16	885.341751823126	-0.0359055492907372	0.398747731321457	-0.0900457769922491	0.928250837775363	0.976563423227805
RBM5	ENSG00000003756.17	3733.59513883491	0.156402003789769	0.373969806893077	0.418220938982078	0.675785587848409	0.873339937945265
MTMR7	ENSG00000003987.14	73.1518818032092	-0.453104467144853	0.574286897963568	-0.788986251909228	0.430120041906588	0.729177290684591
SLC7A2	ENSG00000003989.18	1264.67491722014	1.63495170029742	0.655776166220862	2.49315511071316	0.0126613521796392	0.10539544104252
