ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
22	"ENSG00000012817.16"	"KDM5D"	chrY	-	19707933	19708071	19707146	19707746	19708243	19708423	22	128,0,130	0,0,0	125,0,112	0,0,1	287	149	1	1.0	1.0,NA,1.0	1.0,NA,0.983	0.008
23	"ENSG00000012817.16"	"KDM5D"	chrY	-	19715351	19715499	19710375	19710472	19715614	19715739	23	83,0,48	0,0,0	75,0,66	0,0,5	297	149	1	1.0	1.0,NA,1.0	1.0,NA,0.869	0.066
24	"ENSG00000012817.16"	"KDM5D"	chrY	-	19723340	19723433	19721129	19721311	19731771	19731930	24	2,0,2	49,0,20	0,0,0	26,0,36	242	149	1	1.0	0.025,NA,0.058	0.0,NA,0.0	0.042
25	"ENSG00000012817.16"	"KDM5D"	chrY	-	19739527	19739662	19735620	19735750	19741317	19741488	25	79,0,25	1,0,0	69,0,52	0,0,7	284	149	1	1.0	0.976,NA,1.0	1.0,NA,0.796	0.09
26	"ENSG00000012817.16"	"KDM5D"	chrY	-	19741317	19741488	19739527	19739662	19741734	19741857	26	77,0,30	1,0,0	66,0,64	1,0,0	298	149	1	1.0	0.975,NA,1.0	0.971,NA,1.0	0.002
68	"ENSG00000129824.16"	"RPS4Y1"	chrY	+	2842164	2842242	2841601	2841627	2844076	2844257	68	2016,2,2534	0,0,2	4801,0,4630	0,0,1	227	149	1	1.0	1.0,1.0,0.999	1.0,NA,1.0	-0.0
69	"ENSG00000129824.16"	"RPS4Y1"	chrY	+	2854599	2854771	2845645	2845743	2865087	2865245	69	5707,6,10435	1,0,0	15727,6,13955	2,0,2	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
70	"ENSG00000129824.16"	"RPS4Y1"	chrY	+	2865087	2865245	2854095	2854771	2866792	2866862	70	4894,9,10114	8,0,11	14451,8,11918	4,0,17	298	149	1	1.0	0.997,1.0,0.998	0.999,1.0,0.997	-0.0
71	"ENSG00000129824.16"	"RPS4Y1"	chrY	+	2928863	2928985	2854729	2854771	2931710	2932000	71	0,0,0	2,0,0	12,0,16	5,0,12	271	149	1	1.0	0.0,NA,NA	0.569,NA,0.423	-0.496
73	"ENSG00000292348.1"	"CD99"	chrY	+	2714421	2714454	2691186	2691427	2717604	2717652	73	2549,121,3706	0,0,0	1238,2109,2729	2,0,0	182	149	1	1.0	1.0,1.0,1.0	0.998,1.0,1.0	0.001
