ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000012817.16"	"KDM5D"	chrY	-	19706440	19706863	19706440	19706640	19706793	19706863	0	13,0,12	54,0,53	16,0,10	65,0,57	298	149	1	1.0	0.107,NA,0.102	0.11,NA,0.081	0.009
8	"ENSG00000292327.1"	"PPP2R3B"	chrY	-	341306	341931	341306	341396	341882	341931	8	0,18,1	4,50,5	0,0,0	0,1,0	298	149	1	1.0	0.0,0.153,0.091	NA,0.0,NA	0.081
10	"ENSG00000130826.19"	"DKC1"	chrX	+	154764898	154765530	154764898	154764966	154765443	154765530	10	25,17,4	1139,777,335	17,19,5	222,240,377	298	149	0.000409242452768	0.004468072450743164	0.011,0.011,0.006	0.037,0.038,0.007	-0.018
11	"ENSG00000130826.19"	"DKC1"	chrX	+	154766215	154767061	154766215	154766400	154766996	154767061	11	14,26,0	1303,871,506	6,4,0	263,263,383	298	149	0.82626658778	1.0	0.005,0.015,0.0	0.011,0.008,0.0	0.0
12	"ENSG00000130826.19"	"DKC1"	chrX	+	154774601	154775273	154774601	154774690	154775194	154775273	12	147,162,88	8,6,7	55,65,44	3,1,3	298	149	0.292708468282	0.7439758323428873	0.902,0.931,0.863	0.902,0.97,0.88	-0.019
13	"ENSG00000130826.19"	"DKC1"	chrX	+	154774601	154775273	154774601	154774705	154775194	154775273	13	81,107,35	1154,753,715	39,57,25	282,273,380	298	149	0.00449806555413	0.03148645887891	0.034,0.066,0.024	0.065,0.095,0.032	-0.023
14	"ENSG00000130826.19"	"DKC1"	chrX	+	154774601	154776324	154774601	154775273	154776186	154776324	14	27,33,26	1759,1219,1159	26,28,9	434,458,573	298	149	0.000335516844389	0.0038110337215924456	0.008,0.013,0.011	0.029,0.03,0.008	-0.012
19	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	19	304,134,245	56,30,82	163,208,291	95,37,100	246	149	0.195093725195	0.5594318305768032	0.767,0.73,0.644	0.51,0.773,0.638	0.073
21	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154434207	154435186	154434207	154434446	154435138	154435186	21	34,40,58	676,484,785	38,74,40	552,831,815	298	149	0.949300598198	1.0	0.025,0.04,0.036	0.033,0.043,0.024	0.0
22	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	22	3084,964,1108	1215,799,1198	2838,1667,1960	2644,1638,1573	251	149	0.224141823684	0.6174431056143281	0.601,0.417,0.354	0.389,0.377,0.425	0.06
23	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	23	581,343,555	29131,18299,21391	531,247,290	83241,37828,48616	239	149	0.00189401399822	0.016054127922339862	0.012,0.012,0.016	0.004,0.004,0.004	0.009
