ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSG00000012817.16"	"KDM5D"	chrY	-	19708243	19708423	19708321	19708423	19707933	19708071	4	83,0,57	4,0,4	93,0,69	6,0,15	227	149	1	1.0	0.932,NA,0.903	0.911,NA,0.751	0.087
12	"ENSG00000124333.16"	"VAMP7"	chrX	+	155889457	155889612	155889457	155889608	155895622	155895680	12	0,0,1	1,0,0	0,76,0	0,0,0	153	149	1	1.0	0.0,NA,1.0	NA,1.0,NA	-0.5
18	"ENSG00000130826.19"	"DKC1"	chrX	+	154764898	154765530	154764898	154764966	154765906	154765998	18	1276,870,405	0,0,0	313,294,439	1,0,2	298	149	1	1.0	1.0,1.0,1.0	0.994,1.0,0.991	0.005
19	"ENSG00000130826.19"	"DKC1"	chrX	+	154766215	154767061	154766215	154766400	154767255	154767382	19	1179,726,434	28,7,13	244,240,302	2,0,2	298	149	0.000108631195193	0.002660040277797131	0.955,0.981,0.943	0.984,1.0,0.987	-0.031
22	"ENSG00000130826.19"	"DKC1"	chrX	+	154768301	154768802	154768301	154768432	154769166	154769310	22	7,2,6	682,423,294	4,1,3	172,174,193	298	149	1	1.0	0.005,0.002,0.01	0.011,0.003,0.008	-0.002
23	"ENSG00000130826.19"	"DKC1"	chrX	+	154774601	154774705	154774601	154774690	154775194	154775273	23	1224,812,770	8,6,7	301,286,400	3,1,3	164	149	1	1.0	0.993,0.992,0.99	0.989,0.996,0.992	-0.001
24	"ENSG00000130826.19"	"DKC1"	chrX	+	154776186	154776328	154776186	154776324	154776803	154777684	24	0,1,0	16,19,3	2,0,0	0,7,0	153	149	1	1.0	0.0,0.049,0.0	1.0,0.0,NA	-0.484
25	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154560406	154560736	25	7,2,0	7,0,9	2,2,0	2,0,5	205	149	0.855078202176	1.0	0.421,1.0,0.0	0.421,1.0,0.0	0.0
26	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154561687	154561784	26	5,4,0	0,0,3	0,2,0	0,0,0	205	149	1	1.0	1.0,1.0,0.0	NA,1.0,NA	-0.333
29	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154429047	154431657	154429047	154429174	154431829	154431904	29	12,15,2	569,314,447	12,2,16	399,600,647	298	149	0.951363072067	1.0	0.01,0.023,0.002	0.015,0.002,0.012	0.002
32	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399802	154399941	32	23236,14457,17705	12,12,39	67435,30681,40409	2,4,23	298	149	1	1.0	0.999,0.998,0.996	1.0,1.0,0.999	-0.002
33	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154400463	154400626	33	424,236,412	0,0,4	398,177,217	0,0,0	298	149	1	1.0	1.0,1.0,0.981	1.0,1.0,1.0	-0.006
34	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351580	154351696	154350030	154350207	34	7506,4097,7928	0,0,0	4850,1819,5477	0,0,1	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
35	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154366023	154366224	154365348	154365486	35	18,12,2	3002,1203,523	0,3,5	1117,384,1830	298	149	1	1.0	0.003,0.005,0.002	0.0,0.004,0.001	0.002
38	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790795	153790851	153790809	153790851	153790194	153790292	38	81,34,97	19,0,4	39,42,47	3,2,1	163	149	0.0370906326488	0.2384449914039866	0.796,1.0,0.957	0.922,0.95,0.977	-0.032
39	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153775886	153776214	153775886	153775968	153776355	153776459	39	15,11,256	0,0,3	14,3,218	0,0,0	298	149	1	1.0	1.0,1.0,0.977	1.0,1.0,1.0	-0.008
